country,sessions
United States,589
India,95
Germany,91
United Kingdom,77
Australia,54
France,50
Canada,47
Brazil,44
Poland,44
South Korea,40
Spain,40
Russia,39
China,32
Netherlands,32
Vietnam,29
Italy,28
Ukraine,28
Hungary,22
Singapore,20
Japan,19
Belgium,18
Austria,17
Hong Kong,13
Indonesia,13
Denmark,12
Sweden,12
Portugal,11
Switzerland,10
Malaysia,9
Thailand,9
Argentina,8
Norway,8
Romania,8
Taiwan,8
Finland,7
Greece,7
Kenya,7
Lithuania,7
South Africa,7
Belarus,6
Colombia,6
Ireland,6
Israel,6
Peru,6
Uruguay,6
Croatia,5
Czechia,5
Turkey,5
Chile,4
Estonia,4
Nepal,4
New Zealand,4
United Arab Emirates,4
(not set),3
Bulgaria,3
Iran,3
Mexico,3
Pakistan,3
Serbia,3
Slovakia,3
Slovenia,3
Bangladesh,2
Cyprus,2
Dominican Republic,2
Egypt,2
Malta,2
Nigeria,2
Philippines,2
Zimbabwe,2
Congo - Brazzaville,1
El Salvador,1
Ghana,1
Guatemala,1
Kazakhstan,1
Kyrgyzstan,1
Moldova,1
Paraguay,1
Saudi Arabia,1
Tunisia,1
Uganda,1
